HAGRID,Kingdom,Phylum,Class,Order,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Adult weight (g),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,Temperature (K)
4530,Animalia,Chordata,Teleostei,Scorpaeniformes,Blue rockfish,1642,1277,,,,,,2084.5,44,wild,medium,acceptable,
2362,Animalia,Chordata,Mammalia,Chiroptera,Indian flying fox,365,365,145,1,1,365,45,1175,44,captivity,large,high,309.85
1508,Animalia,Chordata,Aves,Psittaciformes,Red-browed parrot,,,,,,,,511.5,44,captivity,medium,acceptable,
3568,Animalia,Chordata,Reptilia,Squamata,Otago skink,,,,,,,,40.64,44,captivity,small,acceptable,
2253,Animalia,Chordata,Mammalia,Carnivora,Polar bear,1734,1734,65,2,0.4,750,665,475000,43.8,captivity,medium,acceptable,309.95
1453,Animalia,Chordata,Aves,Procellariiformes,Black-browed albatross,3872,,,,,,,3232,43.7,wild,medium,acceptable,
2647,Animalia,Chordata,Mammalia,Perissodactyla,Indian rhinoceros,1678,2557,479,1,0.3,850,58000,1602330,43.5,captivity,medium,acceptable,310.55
448,Animalia,Chordata,Aves,Charadriiformes,Eurasian oystercatcher,1095,1095,,,,,,480,43.3,wild,medium,acceptable,
4347,Animalia,Chordata,Teleostei,Perciformes,Black drum,,,,,,,,28215,43,wild,medium,acceptable,
2802,Animalia,Chordata,Mammalia,Primates,Siamang,2190,2190,231,1,0.4,607,517,10900,43,captivity,small,acceptable,
710,Animalia,Chordata,Aves,Gruiformes,Common crane,1825,1825,,,,,,5500,43,wild,medium,acceptable,
4529,Animalia,Chordata,Teleostei,Scorpaeniformes,Vermilion rockfish,,,,,,,,3700,43,wild,medium,acceptable,
1373,Animalia,Chordata,Aves,Pelecaniformes,Brown pelican,365,730,29,3,1,,63.5,3115.8,43,unknown,medium,acceptable,
1710,Animalia,Chordata,Aves,Suliformes,Great frigatebird,1826,1826,56,1,1,,,1400,43,wild,medium,acceptable,
1517,Animalia,Chordata,Aves,Psittaciformes,Blue-and-yellow macaw,,,,,,,,1030,43,captivity,large,acceptable,
1548,Animalia,Chordata,Aves,Psittaciformes,Long-billed corella,,,,,,,,567,43,captivity,medium,acceptable,
2222,Animalia,Chordata,Mammalia,Carnivora,Gray seal,1460,1887,240,1,0.9,365,14000,268000,42.9,captivity,medium,acceptable,
2674,Animalia,Chordata,Mammalia,Primates,Chamek spider monkey,1591,1553,204,,,,,6000,42.8,captivity,medium,acceptable,
418,Animalia,Chordata,Aves,Charadriiformes,Common murre,1825,1825,31,1,1,,,992,42.8,wild,large,acceptable,
2290,Animalia,Chordata,Mammalia,Cetacea,Risso's dolphin,3652,3652,365,1,,,,425000,42.5,captivity,tiny,acceptable,
2048,Animalia,Chordata,Mammalia,Artiodactyla,Pygmy hippopotamus,1278,1644,199,1,0.4,,4900,215000,42.3,captivity,medium,acceptable,
1669,Animalia,Chordata,Aves,Sphenisciformes,Little penguin,727,,39,,,,,1105,42.2,wild,large,acceptable,
1446,Animalia,Chordata,Aves,Procellariiformes,Black-footed albatross,1825,1825,65,1,1,,182.5,2800,42.1,wild,large,acceptable,
4425,Animalia,Chordata,Teleostei,Pleuronectiformes,Pacific halibut,4927,4562,,,,,,199650,42,wild,medium,acceptable,
258,Animalia,Chordata,Aves,Accipitriformes,White-tailed sea-eagle,1460,1460,41,2,,,,6696.5,42,captivity,medium,acceptable,
322,Animalia,Chordata,Aves,Anseriformes,Canada goose,730,730,26,5,1,,85.5,3200,42,unknown,medium,acceptable,
251,Animalia,Chordata,Aves,Accipitriformes,Black-chested buzzard-eagle,,,,,,,,2447.5,42,captivity,medium,acceptable,
325,Animalia,Chordata,Aves,Anseriformes,Hawaiian goose,912,730,30,4,1,,90.8,2150,42,wild,medium,acceptable,
4499,Animalia,Chordata,Teleostei,Scorpaeniformes,Sea perch,,,,,,,,770,42,wild,medium,acceptable,
409,Animalia,Chordata,Aves,Charadriiformes,Razorbill,1460,1460,36,1,1,,63.8,726,42,wild,small,acceptable,
4518,Animalia,Chordata,Teleostei,Scorpaeniformes,Greenstriped rockfish,,,,,,,,346.5,42,wild,medium,acceptable,
708,Animalia,Chordata,Aves,Gruiformes,Sarus crane,1817,,32,,,,,8663,41.8,captivity,medium,acceptable,
1716,Animalia,Chordata,Aves,Suliformes,Black-faced cormorant,,,,,,,,1420,41.6,wild,large,acceptable,
257,Animalia,Chordata,Aves,Accipitriformes,"Griffon vulture, or Eurasian griffon",1460,1460,,,,,,7436,41.4,captivity,large,acceptable,
3715,Animalia,Chordata,Reptilia,Testudines,Common slider,2920,1460,75,13,,,,240,41.3,captivity,large,acceptable,297
2624,Animalia,Chordata,Mammalia,Monotremata,"Western long-beaked echidna, or Long-nosed echidna",,,10,1,,,,7500,41.2,captivity,tiny,acceptable,303.95
2158,Animalia,Chordata,Mammalia,Carnivora,Spotted hyena,1095,639,110,2,1,449,1390,63000,41.1,captivity,medium,acceptable,
3252,Animalia,Chordata,Reptilia,Crocodilia,Orinoco crocodile,,,,,,,,107900,41,captivity,medium,acceptable,
3799,Animalia,Chordata,Teleostei,Anguilliformes,Speckled longfin eel,7300,3650,,,,,,8965,41,wild,medium,acceptable,
2793,Animalia,Chordata,Mammalia,Primates,"Western hoolock gibbon, or Hoolock gibbon",2556,,,1,0.3,1080,,6875,41,captivity,small,acceptable,
274,Animalia,Chordata,Aves,Accipitriformes,Philippine eagle,1825,2555,63,1,,,,6500,41,captivity,small,acceptable,
2658,Animalia,Chordata,Mammalia,Pilosa,Hoffmann's two-toed sloth,730,1095,350,1,0.7,456,402,6250,41,captivity,medium,acceptable,307.55
1670,Animalia,Chordata,Aves,Sphenisciformes,Gentoo penguin,730,730,,2,,,,5950,41,captivity,medium,acceptable,
4375,Animalia,Chordata,Teleostei,Perciformes,Yellowmouth grouper,,,,,,,,5610,41,wild,medium,acceptable,
227,Animalia,Chordata,Aves,Accipitriformes,Steppe eagle,1454,,,,,,,2745.5,41,captivity,small,acceptable,
1403,Animalia,Chordata,Aves,Phoenicopteriformes,Lesser flamingo,1090,,,,,,,1500,41,wild,medium,acceptable,
3871,Animalia,Chordata,Teleostei,Cypriniformes,Cui-ui,5657,5657,,,,,,1496,41,wild,medium,acceptable,
1552,Animalia,Chordata,Aves,Psittaciformes,Yellow-tailed black cockatoo,,,,,,,,678.5,41,captivity,medium,acceptable,
2396,Animalia,Chordata,Mammalia,Chiroptera,Brandt's bat,,,,,,,,7,41,wild,medium,acceptable,
309,Animalia,Chordata,Aves,Anseriformes,Pink-footed goose,1095,1095,,,,,,2645,40.9,wild,medium,acceptable,
3293,Animalia,Chordata,Reptilia,Squamata,Boa constrictor,1095,1095,125,35,,,,3532,40.4,captivity,large,acceptable,293
2703,Animalia,Chordata,Mammalia,Primates,White-fronted capuchin,1310,1310,158,1,0.7,547,233,2467.5,40.4,captivity,medium,acceptable,
229,Animalia,Chordata,Aves,Accipitriformes,Tawny eagle,1454,,,,,,,1996.1,40.3,captivity,medium,acceptable,
2314,Animalia,Chordata,Mammalia,Cetacea,Beluga,1644,2283,416,1,0.3,1004,66000,1430000,40,captivity,medium,acceptable,308.95
3207,Animalia,Chordata,Mammalia,Sirenia,Amazonian manatee,1096,1096,328,1,0.5,,12500,480000,40,captivity,small,acceptable,
2252,Animalia,Chordata,Mammalia,Carnivora,Brown bear,1313,1313,103,2,0.4,852,510,277500,40,captivity,large,acceptable,310.45
3248,Animalia,Chordata,Reptilia,Crocodilia,Black caiman,,,,,,,,82000,40,captivity,small,acceptable,
2752,Animalia,Chordata,Mammalia,Primates,Mandrill,1186,,173,1,0.8,532,613,23000,40,captivity,large,high,
3796,Animalia,Chordata,Teleostei,Anguilliformes,Marbled eel,,,,,,,,11275,40,wild,medium,acceptable,
2679,Animalia,Chordata,Mammalia,Primates,"Southern muriqui, or Woolly spider monkey, or Muriqui",2738,,232,1,0.3,730,,11170,40,wild,medium,acceptable,
3246,Animalia,Chordata,Reptilia,Crocodilia,Spectacled caiman,2192,2192,84,,,,,10900,40,captivity,medium,acceptable,
340,Animalia,Chordata,Aves,Anseriformes,Mute swan,1095,1095,36,5.3,1,,225,8300,40,wild,large,acceptable,
2741,Animalia,Chordata,Mammalia,Primates,Rhesus monkey,1231,2007,165,1,1,444,464,8235,40,captivity,large,high,310.45
2746,Animalia,Chordata,Mammalia,Primates,Liontail macaque,1429,2511,176,1,0.7,503,407,7875,40,captivity,large,high,
707,Animalia,Chordata,Aves,Gruiformes,Whooping crane,1460,1460,31,2,,,150,7500,40,captivity,medium,acceptable,
3250,Animalia,Chordata,Reptilia,Crocodilia,Smooth-fronted caiman,5479,5479,115,,,,,7500,40,captivity,medium,acceptable,
3968,Animalia,Chordata,Teleostei,Cypriniformes,Altai osman,3102,3102,,,,,,5500,40,wild,medium,acceptable,
252,Animalia,Chordata,Aves,Accipitriformes,Bearded vulture,2544,,,,,,,5070,40,captivity,medium,acceptable,
2816,Animalia,Chordata,Mammalia,Primates,"Black-and-white ruffed lemur, or Ruffed lemur",605,649,98,1.9,1,365,107.17,3482.3,40,captivity,large,high,
223,Animalia,Chordata,Aves,Accipitriformes,Wedge-tailed eagle,1638,1096,,,,,,3466,40,captivity,small,acceptable,
282,Animalia,Chordata,Aves,Accipitriformes,King vulture,,,57,,,,,3405,40,captivity,small,acceptable,
1445,Animalia,Chordata,Aves,Procellariiformes,Waved albatross,3032,,,,,,,3395,40,wild,medium,acceptable,
3735,Animalia,Chordata,Reptilia,Testudines,Indian black turtle,,,,,,,,760,40,captivity,medium,acceptable,
4548,Animalia,Chordata,Teleostei,Scorpaeniformes,Norway haddock,,,,,,,,550,40,wild,medium,acceptable,
1569,Animalia,Chordata,Aves,Psittaciformes,Galah,363,,,,,,,300,40,captivity,large,acceptable,
1622,Animalia,Chordata,Aves,Psittaciformes,Senegal parrot,,,,,,,,155,40,captivity,large,acceptable,
3751,Animalia,Chordata,Reptilia,Testudines,Common mud turtle,1825,1460,76,4,,,,154.7,40,wild,medium,acceptable,
3698,Animalia,Chordata,Reptilia,Testudines,Bog turtle,2900,2900,90,3,,,,132.1,40,unknown,medium,acceptable,
1486,Animalia,Chordata,Aves,Procellariiformes,Short-tailed shearwater,2192,,53,1,,,,499.4,39.9,wild,medium,acceptable,
2651,Animalia,Chordata,Mammalia,Perissodactyla,Brazilian tapir,1095,1095,398,1,,,6000,250000,39.6,captivity,large,high,309.65
2046,Animalia,Chordata,Mammalia,Artiodactyla,Giraffe,1278,1644,457,1,0.5,620,58500,800000,39.5,captivity,large,high,310.25
1400,Animalia,Chordata,Aves,Pelecaniformes,Straw-necked ibis,,,,,,,,1351.5,39.4,captivity,medium,acceptable,
2254,Animalia,Chordata,Mammalia,Carnivora,Asiatic black bear,1095,1095,228,2,,365,463,103750,39.2,captivity,medium,acceptable,310.65
2250,Animalia,Chordata,Mammalia,Carnivora,Spectacled bear,1461,1461,228,1.5,,,320,109250,39,captivity,medium,acceptable,
3879,Animalia,Chordata,Teleostei,Cypriniformes,Smallmouth buffalo,,,,,,,,20515,39,wild,medium,acceptable,
2751,Animalia,Chordata,Mammalia,Primates,Drill,1277,,179,1,0.8,448,772,18250,39,captivity,medium,acceptable,
221,Animalia,Chordata,Aves,Accipitriformes,Cinereous vulture,1999,,,,,,,9625,39,captivity,medium,acceptable,
2738,Animalia,Chordata,Mammalia,Primates,Long-tailed macaque,1238,1544,165,1,0.9,431,320,6362.5,39,captivity,large,acceptable,310.75
572,Animalia,Chordata,Aves,Ciconiiformes,European white stork,1460,1460,33,4,,,,3350,39,wild,medium,acceptable,
1513,Animalia,Chordata,Aves,Psittaciformes,Hyacinth macaw,,,,,,,,1330,38.8,captivity,tiny,acceptable,
264,Animalia,Chordata,Aves,Accipitriformes,Little eagle,,,,,,,,791,38.7,wild,medium,acceptable,
2739,Animalia,Chordata,Mammalia,Primates,Japanese macaque,1483,1369,174,1.5,0.5,514,496,8882.5,38.5,captivity,large,high,
3671,Animalia,Chordata,Reptilia,Testudines,Pignose turtle,,,,,,,,16275,38.4,captivity,medium,acceptable,
2244,Animalia,Chordata,Mammalia,Carnivora,Kinkajou,820,550,115,1,1,365,175,3000,38.4,captivity,medium,acceptable,309.25
1514,Animalia,Chordata,Aves,Psittaciformes,Lear's macaw,,,,,,,,940,38.3,captivity,small,acceptable,
3717,Animalia,Chordata,Reptilia,Testudines,Southeast Asian box turtle,,,,,,,,1000,38.2,captivity,medium,acceptable,
2641,Animalia,Chordata,Mammalia,Perissodactyla,Quagga,900,900,365,1,0.6,556,32000,280000,38,captivity,large,high,
2799,Animalia,Chordata,Mammalia,Primates,Pileated gibbon,2555,1825,228,1,,,,5735,38,captivity,medium,acceptable,
269,Animalia,Chordata,Aves,Accipitriformes,Red kite,1095,1095,,,,,,1080,38,captivity,medium,acceptable,
2723,Animalia,Chordata,Mammalia,Primates,Blue monkey,1673,1673,132,1,0.5,515,366.4,9000,37.8,captivity,medium,acceptable,310.65
360,Animalia,Chordata,Aves,Anseriformes,Common eider,730,730,28,4,1,,76.4,2130,37.8,wild,medium,acceptable,
2742,Animalia,Chordata,Mammalia,Primates,"Southern pig-tailed macaque, or Pigtail macaque",1125,1095,172,1,0.8,405,462.5,7912.5,37.6,captivity,large,acceptable,
641,Animalia,Chordata,Aves,Falconiformes,Southern caracara,,,,,,,,1348,37.6,captivity,small,acceptable,
2755,Animalia,Chordata,Mammalia,Primates,Hamadryas baboon,1514,1762,171,1,0.8,568,814,18000,37.5,captivity,large,high,311.15
2815,Animalia,Chordata,Mammalia,Primates,Red ruffed lemur,609,650,98,2.2,,,109.73,3601.3,37.5,captivity,small,acceptable,
2808,Animalia,Chordata,Mammalia,Primates,Black lemur,540,266,120,1.4,1,365,70.1,2467,37.5,captivity,medium,acceptable,
1350,Animalia,Chordata,Aves,Pelecaniformes,Grey heron,730,730,,,,,,1443,37.5,wild,medium,acceptable,
1721,Animalia,Chordata,Aves,Suliformes,Northern gannet,730,1095,43,1,1,,80,2950,37.4,wild,medium,acceptable,
3681,Animalia,Chordata,Reptilia,Testudines,Hilaire's side-necked turtle,,,,,,,,2380,37.4,captivity,medium,acceptable,
2813,Animalia,Chordata,Mammalia,Primates,Ring-tailed lemur,595,912,135,1.1,0.9,365,70.6,2555,37.3,captivity,large,high,
2406,Animalia,Chordata,Mammalia,Chiroptera,Mouse-eared bat,502,502,65,1,1,365,5.9,28.55,37.1,wild,large,acceptable,308.15
2307,Animalia,Chordata,Mammalia,Cetacea,Northern bottlenose whale,3652,3287,365,1,1,365,,6500000,37,wild,medium,acceptable,
2673,Animalia,Chordata,Mammalia,Primates,White-bellied spider monkey,1461,1826,184,1,0.3,1095,,7535,37,captivity,small,acceptable,
2795,Animalia,Chordata,Mammalia,Primates,Kloss's gibbon,,,213,1,0.4,,,5900,37,captivity,tiny,acceptable,
1450,Animalia,Chordata,Aves,Procellariiformes,Yellow-nosed albatross,3324,,,,,,,3890,37,wild,medium,acceptable,
271,Animalia,Chordata,Aves,Accipitriformes,Egyptian vulture,1817,,,,,,,2082,37,captivity,medium,acceptable,
1397,Animalia,Chordata,Aves,Pelecaniformes,Sacred ibis,1090,,,,,,,1530,37,captivity,large,acceptable,
3672,Animalia,Chordata,Reptilia,Testudines,Common snake-necked turtle,,,,,,,,1293,37,wild,medium,acceptable,
4533,Animalia,Chordata,Teleostei,Scorpaeniformes,Speckled rockfish,,,,,,,,522.5,37,wild,medium,acceptable,
3430,Animalia,Chordata,Reptilia,Squamata,Gray gecko,,,,,,,,6.83,37,captivity,medium,acceptable,
2247,Animalia,Chordata,Mammalia,Carnivora,Giant panda,2192,2192,48,1.5,0.7,548,110,117500,36.8,captivity,small,acceptable,
2657,Animalia,Chordata,Mammalia,Pilosa,Southern two-toed sloth,1279,1644,279,1,1,616,356,6250,36.8,captivity,medium,acceptable,
2445,Animalia,Chordata,Mammalia,Cingulata,Southern three-banded armadillo,320,320,120,1,1,,80,1500,36.8,captivity,small,acceptable,306.15
1404,Animalia,Chordata,Aves,Phoenicopteriformes,Chilean flamingo,1825,2008,,,,,,2277,36.7,captivity,large,acceptable,
709,Animalia,Chordata,Aves,Gruiformes,Sandhill crane,1095,1095,29,2,1,,114.2,3890,36.6,wild,medium,acceptable,
2648,Animalia,Chordata,Mammalia,Perissodactyla,Malayan tapir,1095,1095,392,1,0.5,730,6500,250000,36.5,captivity,medium,acceptable,309.95
3750,Animalia,Chordata,Reptilia,Testudines,Sonoran mud turtle,2557,2191,,,,,,326,36.5,captivity,small,acceptable,
712,Animalia,Chordata,Aves,Gruiformes,Siberian crane,2181,,,,,,,5931,36.2,captivity,medium,acceptable,
1389,Animalia,Chordata,Aves,Pelecaniformes,Royal spoonbill,1095,1095,,,,,,1795.25,36.2,wild,small,acceptable,
2809,Animalia,Chordata,Mammalia,Primates,Mongoose lemur,650,1065,120,1,1,,62,1555,36.2,captivity,medium,acceptable,
1913,Animalia,Chordata,Mammalia,Artiodactyla,Anoa,730,730,300,1,1,,,155000,36.1,captivity,medium,acceptable,
2765,Animalia,Chordata,Mammalia,Primates,Gelada baboon,1391,2190,168,1,0.5,740,464,16200,36,captivity,medium,acceptable,
1885,Animalia,Chordata,Holostei,Lepisosteiformes,Longnose gar,2190,1277,,,,,,12540,36,wild,medium,acceptable,
2735,Animalia,Chordata,Mammalia,Primates,Gray-cheeked mangabey,1460,,181,1,0.4,584,425,9317.5,36,captivity,small,acceptable,
2719,Animalia,Chordata,Mammalia,Primates,Moustached monkey,1460,,172,1,0.4,821,340,3585,36,captivity,small,acceptable,
2831,Animalia,Chordata,Mammalia,Primates,Guianan saki,775,1460,158,1,1,319,,1480,36,captivity,large,high,
831,Animalia,Chordata,Aves,Passeriformes,Azure jay,,,,,,,,272,36,captivity,tiny,acceptable,
1458,Animalia,Chordata,Aves,Procellariiformes,Leach's storm petrel,1826,1826,41,1,1,,4.2,44.6,36,wild,medium,acceptable,
1455,Animalia,Chordata,Aves,Procellariiformes,Harcourt's storm petrel,1826,1826,42,1,1,,7.5,42,36,wild,medium,acceptable,
36,Animalia,Chordata,Amphibia,Anura,American toad,910,910,8,6000,,365,,21.7667,36,captivity,medium,acceptable,288
2248,Animalia,Chordata,Mammalia,Carnivora,Sun bear,2372,,95,1,,,325,46000,35.9,captivity,medium,acceptable,311.25
567,Animalia,Chordata,Aves,Charadriiformes,Great skua,2190,2190,,,,,,1340,35.9,wild,large,acceptable,
459,Animalia,Chordata,Aves,Charadriiformes,White tern,1764,1764,36,1,,,13,98.1,35.9,wild,medium,acceptable,
3674,Animalia,Chordata,Reptilia,Testudines,Mata mata,,,,,,,,4407,35.8,captivity,small,acceptable,
2824,Animalia,Chordata,Mammalia,Primates,"Bald uacari, or Red uakari",1204,,182,1,0.5,776,,3165,35.8,captivity,small,acceptable,
484,Animalia,Chordata,Aves,Charadriiformes,Sooty tern,1460,1460,28,1,1,,23.4,148,35.8,wild,medium,acceptable,
2219,Animalia,Chordata,Mammalia,Carnivora,California sea lion,1095,1826,259,1.2,0.5,730,7000,180000,35.7,captivity,large,high,311.25
1369,Animalia,Chordata,Aves,Pelecaniformes,Shoebill,1090,,,,,,,5984,35.7,captivity,small,acceptable,
2807,Animalia,Chordata,Mammalia,Primates,Brown lemur,509,633,118,1.1,2,548,73,2485,35.5,captivity,medium,acceptable,309.65
2005,Animalia,Chordata,Mammalia,Artiodactyla,Bactrian camel,1278,1278,395,1,0.5,730,36000,475000,35.4,captivity,large,high,
1467,Animalia,Chordata,Aves,Procellariiformes,Northern giant petrel,2922,,,,,,,4313,35.4,wild,medium,acceptable,
3704,Animalia,Chordata,Reptilia,Testudines,"False map turtle, or Mississippi map turtle",2922,1826,,,,,,1477,35.4,captivity,medium,acceptable,
1371,Animalia,Chordata,Aves,Pelecaniformes,Dalmatian pelican,1002,913,,,,,,9550,35.3,captivity,large,acceptable,
2731,Animalia,Chordata,Mammalia,Primates,Angolan colobus,1642,730,191,1,,,,8625,35.3,captivity,medium,acceptable,
300,Animalia,Chordata,Aves,Anseriformes,Eurasian wigeon,365,365,24,8,,,,660,35.2,wild,medium,acceptable,
2720,Animalia,Chordata,Mammalia,Primates,Diana monkey,1962,,,1,1,365,475,4550,35.1,captivity,medium,acceptable,
1758,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Dusky shark,7482,7391,,10,,1095,,190575,35,wild,medium,acceptable,
1938,Animalia,Chordata,Mammalia,Artiodactyla,Topi,639,,238,1,0.6,,11100,110000,35,captivity,medium,acceptable,
1774,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scalloped hammerhead,1460,1387,,20.1,,365,,83820,35,wild,medium,acceptable,
4232,Animalia,Chordata,Teleostei,Perciformes,Emperor snapper,,,,,,,,17985,35,wild,medium,acceptable,
4243,Animalia,Chordata,Teleostei,Perciformes,Blue tilefish,1825,1825,,,,,,16500,35,wild,medium,acceptable,
4389,Animalia,Chordata,Teleostei,Perciformes,Squirefish,1277,1277,,,,,,11000,35,wild,medium,acceptable,
2732,Animalia,Chordata,Mammalia,Primates,Guereza,1461,2192,175,1,1,365,397.8,9950,35,captivity,large,high,310.15
388,Animalia,Chordata,Aves,Apterygiformes,Brown kiwi,1461,548,75,1,,,325,2600,35,captivity,small,acceptable,
589,Animalia,Chordata,Aves,Columbiformes,Rock dove,140,140,18,2,3,,15.2,358.7,35,captivity,large,high,
1602,Animalia,Chordata,Aves,Psittaciformes,Cockatiel,456,396,,,,,,90,35,captivity,large,acceptable,
1912,Animalia,Chordata,Mammalia,Artiodactyla,Water buffalo,502,,311,1.375,1,365,37500,725000,34.9,captivity,medium,acceptable,311.25
472,Animalia,Chordata,Aves,Charadriiformes,Lesser black-backed gull,1460,1460,,,,,,766.2,34.9,wild,medium,acceptable,
1749,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Copper shark,7610,5840,,16.6,,730,,167530,34.5,wild,medium,acceptable,
1396,Animalia,Chordata,Aves,Pelecaniformes,Black-faced ibis,,,,,,,,1200,34.5,captivity,medium,acceptable,
3487,Animalia,Chordata,Reptilia,Squamata,Beaded lizard,,,,,,,,1244.15,34.4,captivity,medium,acceptable,
1554,Animalia,Chordata,Aves,Psittaciformes,Short-billed black cockatoo,,,,,,,,622.925,34.4,wild,small,acceptable,
1620,Animalia,Chordata,Aves,Psittaciformes,Ruppel's parrot,,,,,,,,116,34.3,captivity,small,acceptable,
3547,Animalia,Chordata,Reptilia,Squamata,Indian python,1095,1095,100,40,,,,12370,34.2,captivity,large,acceptable,303
1452,Animalia,Chordata,Aves,Procellariiformes,Campbell albatross,3872,,,,,,,3440,34.2,wild,tiny,acceptable,
1618,Animalia,Chordata,Aves,Psittaciformes,Brown parrot,,,,,,,,117.5,34.2,captivity,medium,acceptable,
1559,Animalia,Chordata,Aves,Psittaciformes,Black parrot,,,,,,,,193.5,34.1,captivity,medium,acceptable,
2251,Animalia,Chordata,Mammalia,Carnivora,American black bear,1278,1278,70,2,0.4,730,277.5,154250,34,captivity,large,acceptable,
2763,Animalia,Chordata,Mammalia,Primates,Hooded leaf monkey,,,,1,,,,12000,34,captivity,tiny,acceptable,
2743,Animalia,Chordata,Mammalia,Primates,Celebes crested macaque,1490,,176,1,0.7,540,461,7965,34,captivity,medium,acceptable,
4203,Animalia,Chordata,Teleostei,Perciformes,Tautog,,,,,,,,6215,34,wild,medium,acceptable,
576,Animalia,Chordata,Aves,Ciconiiformes,Black-necked stork,,,,,,,,4100,34,captivity,small,acceptable,
1709,Animalia,Chordata,Aves,Suliformes,Magnificent frigatebird,1826,1826,56,1,1,,,1078,34,unknown,medium,acceptable,
1480,Animalia,Chordata,Aves,Procellariiformes,Sooty shearwater,2734,,,,,,,740,34,unknown,medium,acceptable,
1698,Animalia,Chordata,Aves,Strigiformes,Barred owl,730,730,28,2,1,,46,715,34,wild,medium,acceptable,
1700,Animalia,Chordata,Aves,Strigiformes,Barn owl,365,365,33,6,2,,15,580,34,wild,medium,acceptable,
